ticket_id,complaint_text,brand_reply,created_at
119239,@76328 I really hope you all change but I'm sure you won't! Because you don't have to!,"@105835 Your business means a lot to us. Please DM your name, zip code and additional details about your concern. ^RR https://t.co/znUu1VJn9r",Wed Oct 11 13:00:09 +0000 2017
119241,@VirginTrains see attached error message. I've tried leaving a voicemail several times in the past week https://t.co/NxVZjlYx1k,"@105836 Have you tried from another device, Miriam ^MM",Tue Oct 10 15:17:21 +0000 2017
119244,"@VirginTrains yep, I've tried laptop too several times over the past week and again today. I've tried different browsers too","@105836 It's working OK from here, Miriam. Does this link help https://t.co/0m2mpH15eh ? ^MM",Tue Oct 10 15:26:44 +0000 2017
119242,@VirginTrains I still haven't heard &amp; the number I'm directed to by phone is a dead end &amp; the live chat doesn't work. Can someone call me?,"@105836 LiveChat is online at the moment - https://t.co/SY94VtU8Kq or contact 03331 031 031 option 1, 4, 3 (Leave a message) to request a call back",Tue Oct 10 15:09:00 +0000 2017
119249,"@105838 @AppleSupport Me too am suffering , hope the can find a solution",@105837 We can help. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/GDrqU22YpT,Wed Oct 11 07:37:27 +0000 2017
119253,I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye,@105839 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,Wed Oct 11 07:21:34 +0000 2017
119255,@SpotifyCares Thanks! Version 8.4.22.857 armv7 on anker bluetooth speaker on Samsung Galaxy Tab A (2016) Model SM-T280 Does distance from speaker matter?,@105840 Thanks. The distance could possibly affect playback. Does logging out &gt; restarting your device &gt; logging back in make a difference? /AY,Wed Oct 11 13:45:59 +0000 2017
119258,"@SpotifyCares No, but I've moved speaker to about 1 metre away and it's not skipping at the mo - it was about 3 or 4 metres away before. Fingers crossed!","@105840 That's great to hear. If anything comes up, just let us know. We'll carry on helping out 🙂 /AY",Wed Oct 11 14:01:58 +0000 2017
119260,@SpotifyCares Brilliant thanks 😊,"@105840 You're welcome! If there's anything else we can help with, just give us a shout. We're here for you 😉 /CP",Wed Oct 11 14:22:05 +0000 2017
119256,@76495 @91226 Please help! Spotify Premium skipping through songs constantly on android tablet &amp; bluetooth speaker. Tried everything!,"@105840 Hi there! What device is this happening on? If you could also let us know the Android and Spotify versions you're using, that'd be great /AY",Wed Oct 11 12:53:29 +0000 2017
119263,"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",@105841 We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors. https://t.co/GDrqU22YpT,Wed Oct 11 06:29:07 +0000 2017
119265,First flight for long time with @British_Airways. Now over one 1h delay for the short jump FRA-LCY and NO one here to provide status updates,"@105842 We're sorry your flight has been delayed, Beatner. Are you travelling on the BA8733? If so, the updated departure time we have is 15:30. 1/2",Wed Oct 11 10:42:43 +0000 2017
119268,Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,"@105843 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there. https://t.co/GDrqU22YpT",Wed Oct 11 06:27:16 +0000 2017
119270,"@AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash.",@105844 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,Wed Oct 11 06:49:50 +0000 2017
119272,You’ve paralysed my phone with your update @76099 grrrrrrrrrr,@105844 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT,Wed Oct 11 02:19:23 +0000 2017
119274,"@O2 I received this a few weeks ago, since then I've been getting 2/3 calls a day from a telemarketer. Is someone using your name? https://t.co/GLtz4XHcex","@82476 🤔 We'd like to help Sam, which number is calling you? Please DM us more info so we can advise further. https://t.co/5pyLDJBC6r",Wed Oct 11 12:50:07 +0000 2017
119276,"My internet is down and xfinity talkin about 24-72 hours... y’all have the game messed up. 

@77245","@105845 I understand this is a frustrating experience, please send a DM with your account information so I can look into this matter for you. -AD",Wed Oct 11 13:38:04 +0000 2017
119278,@76803  I service last 40 min sprint can I get a refund https://t.co/wYPw9hP6wt,@105676 I understand how you frustrated this situation can be. Please follow us by sending a DM for further assistance. Sprint Cares. -AC,Wed Oct 11 13:24:06 +0000 2017
119280,So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?,@105846 We'd like to help. What happens when you try to listen to Apple Music &amp; use WhatsApp? Does the music pause? Let us know in DM. https://t.co/GDrqU22YpT,Wed Oct 11 07:13:34 +0000 2017
119282,@SpotifyCares seems to be working at this stage. Will let you know if it happens again. Cheers,@105847 Sure thing. We'll keep an eye out for your update /MU,Wed Oct 11 13:46:20 +0000 2017
119285,@SpotifyCares problem has come back again today. is there some kind of bug?,"@105847 Thanks for giving us a nudge about this. What device, operating system, and Spotify version is this happening on? /AY",Thu Oct 12 10:25:35 +0000 2017
119287,"@SpotifyCares It's on a Macbook Air (early 2014), running High Sierra, spotify version 1.0.65.320.gac7a8e02",@105847 Got it. Can you try the steps here for us: https://t.co/EqisDMwZAT? They should help with this. Let us know how it plays out /AY,Thu Oct 12 12:04:21 +0000 2017
119283,@SpotifyCares i've been having issues with playback. songs have been stopping midway through and won't restart unless i close and reopen app,@105847 Hi Harry! Help's here. Can you check if logging out &gt; restarting your device &gt; logging back in makes a difference? Keep us posted /MU,Wed Oct 11 12:37:46 +0000 2017
119292,@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days,@105848 Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply. https://t.co/GDrqU22YpT,Wed Oct 11 08:06:34 +0000 2017
119294,"Took my phone off charge at 7:20am.

8:03am - 60% battery remaining.

@76099 plz I beg you, sort your battery life out😩",@105849 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,Wed Oct 11 07:03:47 +0000 2017
119297,@southwestair Just curious....will I get the companion pass the exact moment I get enough points? It will I have to wait? Thanks!,"@105850 Once the points load and you hit the number, you get it immediately! You'll even receive a congrats email. Are you almost there? ^AC",Wed Oct 11 13:34:46 +0000 2017
119299,@AppleSupport I need a new code for my I-store. I haven’t recd any but msg is too many sent. Help!,@105851 We'd like to provide some assistance with this. Tell us more about the issue you're experiencing in DM. We'll go from there. https://t.co/GDrqU22YpT,Wed Oct 11 07:16:18 +0000 2017
119301,@76099 @AppleSupport fix this update. It’s horrible,"@105852 Are you experiencing an issue with your device? If so, DM us with what's going on. We'll see how we can help from there. https://t.co/GDrqU22YpT",Wed Oct 11 08:50:14 +0000 2017
119302,"@British_Airways Thanks for your answer. Response onsite was that Aircraft will not depart today, so rebooking to @105853 with now 4h delay...",@105842 Very sorry to hear this.  We hope you get everything sorted.   Kind Regards ^Jools,Wed Oct 11 13:47:24 +0000 2017
119306,@76501 I guess this means free cable for the neighborhood. https://t.co/FBgEE9YXPm,"@105854 I am sorry for the poor experience. Can you please DM the full service address and name on the account, as we ass... https://t.co/JEZhqGdBMd",Wed Oct 11 13:27:49 +0000 2017
119310,@Tesco The point is if it's enforced they do it properly or they don't. Plus take some common-sense and think does that person look over 18?,"@105855 Hi Thomas, if a colleague believes the person buying alcohol looks under 25, they will be challenged for ID to prove they're of age. - Paige",Wed Oct 11 13:31:06 +0000 2017
119313,@Tesco Uk offlicense law is 18. Not 25,"@105855 Hi Thomas, this is correct but this helps our store colleagues judge age and protect them from making underage sales. Amanda",Wed Oct 11 12:29:52 +0000 2017
119318,@Tesco Will I lose all the shopping I've done if I delete the cache/cookies (not using app)?,"@105856 Hi there, as long as you sign out of your account prior to deleting your cache &amp; cookies, you'll still have a full basket :) Thanks - Mike",Wed Oct 11 13:43:09 +0000 2017
119321,@Tesco Done all that. Still telling me there are no delivery slots whatsoever.,"@105856 Can you DM me your full name, address and email? I'd be happy to look into this further for you :) Thanks - Mike",Wed Oct 11 13:48:39 +0000 2017
119319,"Hey @Tesco, your website's broken. It's telling me there are no delivery slots for the next 3 weeks, which I find slightly unlikely.","@105856 Hi there, could you try deleting your cache and cookies and reinstalling the app if using it? This should fix the issue :) - Dani",Wed Oct 11 13:36:32 +0000 2017
119324,@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.,@105857 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM. https://t.co/GDrqU22YpT,Wed Oct 11 08:52:14 +0000 2017
119326,My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!,@105857 We'd like to help if we can. When did this start happening? Which version of iOS are you running currently?,Tue Oct 10 23:09:08 +0000 2017
119328,@HPSupport Problem with printhead  Serial# TH536D1HN #hpcswus #hpprnt,"@105858 Hi Agoura, thanks for tweeting. Please refer to this article: https://t.co/BSsgjZARTc &amp; click the link to reply back. ^Rashmi https://t.co/a2xkfCrUG1",Wed Oct 11 02:04:50 +0000 2017
119330,@105860 I wish Amazon had an option of where I can just get it shipped to the ups store so I can avoid a lot of the struggle,@105859 UPS has a service called My Choice that will allow your packages to be delivered to UPS Store. ^ML  https://t.co/BPZKndqww1 https://t.co/wKJHDXWGRQ,Wed Oct 11 13:50:42 +0000 2017
119333,@Tesco bit of both - finding the layout cumbersome and when removing an item from faves - getting a huge slowdown. Not keen on the thin green line https://t.co/9281OKEebk,"@105861 If that doesn't help please DM your full name, address and email including the browser and device so we can log this. Thanks - Lee 2/2",Wed Oct 11 14:05:18 +0000 2017
